permno,n_rows,n_fdates
75069,272,40
90077,317,40
18148,397,40
92557,408,40
46068,448,40
85205,453,40
90562,453,40
76544,470,40
86916,483,40
61508,484,40
31051,488,40
77259,492,40
87759,496,40
89948,526,40
81588,536,40
90806,542,40
10294,544,40
16417,555,40
56710,569,40
80168,571,40
90288,573,40
79322,574,40
32062,591,40
39731,601,40
85540,610,40
89857,626,40
87471,629,40
79065,645,40
54244,649,40
11748,652,40
30840,670,40
42614,680,40
86113,686,40
79006,695,40
10550,733,40
82768,750,40
76963,758,40
72611,768,40
91471,771,40
62958,773,40
79573,776,40
77202,787,40
86887,806,40
50243,811,40
60898,816,40
72119,821,40
13769,837,40
92583,844,40
85757,845,40
11292,847,40
77973,852,40
44230,865,40
83303,886,40
53373,893,40
85526,903,40
89925,918,40
10257,959,40
30509,967,40
81182,985,40
15580,987,40
17444,991,40
33849,1002,40
87437,1008,40
20336,1026,40
82171,1032,40
76869,1056,40
80955,1073,40
10661,1082,40
37381,1114,40
74908,1141,40
87439,1178,40
46923,1228,40
81624,1237,40
42358,1238,40
11368,1239,40
82526,1261,40
89029,1266,40
83762,1268,40
76360,1314,40
88994,1316,40
76934,1348,40
31691,1384,40
10779,1388,40
88466,1402,40
77282,1428,40
11593,1439,40
85586,1449,40
77235,1456,40
88542,1456,40
86763,1458,40
11654,1483,40
75672,1533,40
82762,1552,40
76461,1573,40
83149,1573,40
78749,1577,40
28629,1594,40
79039,1597,40
76946,1607,40
60038,1614,40
91421,1614,40
90955,1641,40
79666,1665,40
22323,1690,40
85903,1697,40
81893,1711,40
85502,1717,40
81124,1771,40
92468,1820,40
33770,1845,40
80294,1871,40
87832,1947,40
85013,1986,40
91672,2016,40
49138,2020,40
87053,2052,40
58421,2056,40
59256,2057,40
78189,2077,40
86098,2084,40
88372,2087,40
10355,2096,40
86728,2103,40
87016,2123,40
65270,2133,40
91299,2143,40
88468,2152,40
83145,2156,40
92174,2175,40
32548,2176,40
85539,2176,40
84026,2187,40
87589,2207,40
86062,2214,40
41574,2216,40
18438,2244,40
88462,2262,40
87302,2277,40
79490,2279,40
79022,2323,40
10463,2338,40
91446,2338,40
87508,2358,40
32299,2424,40
52250,2437,40
78054,2499,40
88534,2555,40
25452,2571,40
47861,2577,40
91379,2579,40
43334,2580,40
11043,2599,40
33532,2606,40
83690,2613,40
76274,2639,40
83910,2640,40
90223,2641,40
83844,2652,40
85768,2663,40
31480,2664,40
10901,2666,40
61146,2668,40
90868,2704,40
91184,2710,40
80534,2715,40
14761,2739,40
82552,2752,40
81869,2754,40
89935,2762,40
43837,2792,40
91287,2810,40
12209,2820,40
11825,2836,40
77868,2840,40
92089,2849,40
88779,2854,40
83382,2860,40
79033,2879,40
90313,2880,40
79499,2881,40
10547,2897,40
83969,2917,40
67029,2936,40
55993,2946,40
84203,2961,40
84387,3027,40
91909,3089,40
10649,3128,40
88895,3129,40
91729,3136,40
91625,3144,40
61487,3149,40
47619,3164,40
13303,3224,40
86122,3230,40
38033,3256,40
88332,3258,40
82281,3287,40
75104,3325,40
10886,3326,40
45225,3364,40
11790,3376,40
86578,3378,40
82518,3384,40
82234,3414,40
87510,3438,40
91826,3447,40
80069,3460,40
41188,3489,40
92448,3516,40
87364,3538,40
91832,3570,40
78908,3593,40
23799,3607,40
81278,3619,40
87430,3628,40
65700,3665,40
89698,3678,40
78213,3688,40
87379,3697,40
92456,3761,40
26650,3763,40
79776,3809,40
56822,3832,40
87121,3875,40
10239,3879,40
89141,3902,40
53074,3903,40
90605,3915,40
87532,3928,40
91836,3951,40
92010,3970,40
91606,3982,40
91901,3984,40
80050,4016,40
88260,4059,40
92466,4062,40
33823,4075,40
88963,4077,40
85939,4102,40
48961,4113,40
79791,4115,40
91754,4180,40
89941,4190,40
36768,4199,40
77236,4275,40
90568,4282,40
89913,4297,40
80951,4341,40
92354,4413,40
91418,4423,40
83469,4426,40
82176,4506,40
86435,4524,40
81084,4557,40
77425,4585,40
89443,4619,40
76686,4639,40
11775,4676,40
18075,4690,40
85187,4696,40
75985,4712,40
27618,4730,40
86818,4773,40
83390,4788,40
65008,4792,40
88857,4815,40
87361,4846,40
78451,4850,40
79864,4868,40
29867,4881,40
81665,4945,40
79586,4958,40
83411,4984,40
87837,5062,40
76722,5069,40
91503,5095,40
67838,5139,40
81184,5164,40
26084,5173,40
83565,5205,40
92528,5225,40
83304,5239,40
92052,5239,40
88839,5274,40
34367,5349,40
88421,5369,40
83738,5399,40
86444,5441,40
82279,5504,40
86242,5553,40
80828,5583,40
88417,5628,40
80969,5642,40
91215,5684,40
11587,5724,40
89655,5726,40
91357,5734,40
63125,5781,40
72338,5799,40
85886,5800,40
41241,5833,40
59600,5840,40
81254,5868,40
57007,5908,40
82587,5908,40
58501,5927,40
79507,5984,40
86051,6035,40
84607,6053,40
89456,6065,40
60468,6068,40
53604,6071,40
88905,6078,40
83856,6091,40
88264,6128,40
61269,6145,40
92172,6147,40
76128,6164,40
80169,6173,40
36281,6177,40
90088,6192,40
89546,6197,40
90194,6207,40
91618,6243,40
76586,6269,40
85419,6277,40
90856,6287,40
90735,6313,40
80236,6350,40
82599,6368,40
11499,6386,40
53859,6386,40
77515,6412,40
83720,6460,40
89031,6506,40
46340,6519,40
77175,6526,40
72304,6530,40
89973,6569,40
89044,6570,40
90081,6606,40
76927,6623,40
89252,6630,40
47715,6638,40
88351,6690,40
90464,6697,40
42059,6700,40
76856,6708,40
13507,6714,40
86560,6730,40
89792,6734,40
88615,6757,40
87394,6811,40
91727,6811,40
76721,6852,40
70704,6877,40
77780,6878,40
84413,6936,40
79249,7002,40
63132,7015,40
89841,7022,40
84210,7045,40
90548,7051,40
75578,7052,40
87426,7058,40
78044,7060,40
89922,7061,40
91678,7066,40
77165,7096,40
91979,7124,40
11701,7152,40
84737,7159,40
11995,7161,40
67360,7166,40
84438,7180,40
92506,7193,40
71985,7224,40
41217,7261,40
54199,7278,40
86048,7322,40
84234,7353,40
89915,7416,40
90377,7461,40
89824,7475,40
88167,7479,40
37402,7488,40
91024,7490,40
80375,7491,40
28564,7515,40
61496,7579,40
92097,7605,40
87162,7623,40
30648,7687,40
92502,7692,40
75831,7736,40
78876,7755,40
87725,7793,40
78693,7809,40
76868,7854,40
75649,7907,40
88485,7914,40
63715,7924,40
85567,7943,40
91902,7952,40
78950,7969,40
90672,7982,40
85889,8039,40
89964,8052,40
90875,8061,40
65365,8077,40
50789,8099,40
12758,8120,40
85571,8151,40
83633,8197,40
81584,8201,40
83120,8216,40
79150,8231,40
86827,8233,40
92040,8280,40
92467,8283,40
76591,8315,40
46463,8332,40
88810,8339,40
15457,8344,40
34497,8397,40
59774,8409,40
91900,8413,40
78211,8414,40
89167,8428,40
91186,8432,40
85440,8436,40
89575,8445,40
90097,8473,40
12781,8478,40
86128,8483,40
79909,8489,40
82486,8500,40
23182,8505,40
91363,8514,40
75320,8533,40
91432,8536,40
78915,8553,40
86866,8565,40
77785,8573,40
82212,8586,40
11884,8650,40
91498,8709,40
83520,8742,40
80193,8750,40
60098,8753,40
89572,8757,40
92229,8815,40
11144,8842,40
75517,8861,40
90716,8879,40
83756,8933,40
43481,8948,40
78077,8975,40
91665,8981,40
77629,8989,40
78170,8990,40
86889,9018,40
91468,9021,40
90963,9046,40
75460,9084,40
91491,9088,40
92245,9101,40
91688,9103,40
79026,9109,40
52396,9122,40
87268,9136,40
85176,9140,40
85372,9149,40
54704,9160,40
81912,9163,40
53110,9187,40
89413,9211,40
39220,9223,40
19721,9233,40
85686,9234,40
85177,9236,40
91500,9238,40
89455,9272,40
90303,9301,40
79862,9304,40
91814,9318,40
91815,9336,40
83916,9414,40
91575,9414,40
76261,9416,40
45728,9445,40
77660,9479,40
89960,9494,40
90871,9503,40
90870,9526,40
47379,9550,40
55597,9566,40
92432,9575,40
88203,9603,40
83989,9636,40
87086,9666,40
88195,9669,40
90803,9687,40
91658,9700,40
10860,9739,40
92029,9742,40
90444,9745,40
92428,9754,40
72980,9780,40
11731,9785,40
64929,9802,40
54253,9803,40
85738,9803,40
47002,9817,40
84010,9820,40
44274,9863,40
80362,9876,40
89611,9904,40
89753,9944,40
90037,9949,40
91080,9950,40
77595,9961,40
90783,9984,40
76478,9994,40
88174,10019,40
80759,10040,40
44768,10070,40
79878,10092,40
86026,10130,40
83950,10135,40
36898,10154,40
37568,10158,40
42439,10159,40
84176,10161,40
87789,10185,40
49488,10240,40
50623,10245,40
90409,10309,40
89369,10329,40
87077,10350,40
86822,10384,40
84780,10401,40
80254,10458,40
10382,10485,40
10026,10486,40
84624,10506,40
85724,10508,40
84827,10517,40
91114,10527,40
86544,10546,40
76711,10548,40
76708,10570,40
90708,10570,40
77114,10575,40
91018,10592,40
44943,10601,40
31077,10627,40
85059,10629,40
90233,10633,40
85627,10660,40
50550,10680,40
11547,10681,40
83779,10695,40
86717,10709,40
84348,10713,40
77120,10718,40
47626,10726,40
87356,10738,40
83671,10742,40
87066,10743,40
89506,10769,40
35991,10782,40
81621,10823,40
76136,10829,40
80575,10830,40
80054,10835,40
47706,10838,40
79037,10852,40
90494,10878,40
58334,10943,40
89387,10971,40
79841,10986,40
90440,11043,40
76573,11061,40
90734,11062,40
91086,11062,40
10318,11068,40
81220,11083,40
90012,11093,40
10812,11121,40
68292,11145,40
65294,11162,40
83422,11195,40
89406,11196,40
76582,11216,40
78137,11268,40
76127,11297,40
88152,11307,40
11481,11314,40
20750,11391,40
10363,11428,40
61807,11434,40
75854,11440,40
91614,11447,40
92035,11478,40
83244,11542,40
81241,11567,40
84385,11619,40
10421,11622,40
84062,11639,40
79248,11646,40
82855,11652,40
76732,11670,40
10530,11673,40
76123,11688,40
92050,11690,40
75342,11793,40
48523,11795,40
91571,11805,40
83862,11819,40
10032,11836,40
88648,11849,40
89307,11895,40
76392,11903,40
11691,11925,40
26614,11958,40
81073,11967,40
89327,11987,40
89453,11994,40
83112,12002,40
83272,12005,40
10606,12012,40
89036,12020,40
86047,12055,40
76224,12091,40
77917,12091,40
34673,12094,40
86211,12111,40
92469,12146,40
89110,12204,40
83124,12205,40
76798,12216,40
91403,12232,40
83534,12241,40
85863,12289,40
89968,12334,40
82567,12348,40
79108,12352,40
92400,12352,40
39693,12386,40
92095,12391,40
11752,12393,40
20117,12407,40
90971,12408,40
86810,12413,40
16555,12441,40
76661,12473,40
90276,12478,40
89574,12499,40
81282,12509,40
29612,12543,40
85710,12552,40
82649,12562,40
85488,12572,40
78015,12576,40
52936,12630,40
80791,12637,40
82179,12693,40
71475,12695,40
83799,12884,40
90164,13033,40
91516,13041,40
87000,13070,40
89800,13084,40
76750,13089,40
64961,13091,40
91659,13092,40
87487,13147,40
85427,13153,40
90011,13184,40
21135,13203,40
89946,13231,40
10397,13252,40
90455,13291,40
17961,13308,40
73219,13308,40
77447,13332,40
79758,13335,40
90175,13347,40
24248,13367,40
10517,13374,40
79198,13383,40
48144,13403,40
88863,13451,40
61188,13485,40
90458,13508,40
92326,13559,40
87179,13583,40
12570,13585,40
63781,13606,40
76135,13606,40
77918,13608,40
75694,13621,40
90825,13636,40
91262,13637,40
77366,13639,40
87812,13718,40
62341,13728,40
32942,13762,40
80185,13764,40
88949,13772,40
89215,13796,40
79879,13826,40
59619,13873,40
84319,13903,40
88597,13910,40
81666,13914,40
64450,13923,40
24272,13930,40
90564,13937,40
32651,13950,40
80795,13952,40
82634,13967,40
41292,13974,40
82547,13995,40
79668,14004,40
90178,14030,40
76838,14049,40
46077,14060,40
84563,14106,40
88504,14109,40
24969,14127,40
88439,14156,40
66245,14166,40
55511,14182,40
76837,14238,40
87445,14260,40
36003,14271,40
91234,14280,40
12036,14311,40
90569,14321,40
24476,14326,40
90454,14404,40
66683,14457,40
21928,14459,40
61946,14464,40
84042,14528,40
89810,14535,40
91413,14563,40
80034,14566,40
90353,14618,40
64194,14619,40
18091,14668,40
81501,14714,40
84606,14731,40
87075,14748,40
47466,14785,40
72996,14817,40
90427,14829,40
78038,14862,40
20618,14866,40
77610,14906,40
11533,14966,40
82515,14985,40
62498,14986,40
86778,15005,40
76185,15025,40
78156,15036,40
81222,15054,40
91463,15076,40
18649,15086,40
63773,15099,40
42796,15101,40
90988,15104,40
35124,15107,40
53225,15129,40
75107,15158,40
42550,15181,40
27983,15215,40
91090,15283,40
81740,15285,40
86288,15400,40
83509,15402,40
81116,15410,40
61516,15414,40
89781,15424,40
91977,15451,40
90249,15533,40
77191,15535,40
41187,15555,40
23887,15577,40
75175,15590,40
42286,15611,40
84403,15679,40
85067,15688,40
10180,15726,40
20512,15832,40
85992,15833,40
85168,15936,40
82292,15988,40
66376,16024,40
76515,16099,40
45306,16117,40
91402,16158,40
92220,16256,40
87659,16266,40
86876,16396,40
90312,16433,40
85035,16495,40
52716,16499,40
58771,16508,40
91041,16564,40
20204,16579,40
57808,16690,40
75070,16734,40
60186,16749,40
78664,16754,40
90775,16781,40
63467,16835,40
25304,16856,40
91854,16878,40
79089,16918,40
71271,16943,40
11809,16971,40
85424,16992,40
91204,16993,40
27430,17007,40
46690,17019,40
67847,17019,40
90188,17029,40
82694,17040,40
75654,17137,40
80928,17164,40
90507,17196,40
19880,17226,40
51263,17328,40
92570,17348,40
75912,17382,40
77902,17383,40
56223,17445,40
51625,17525,40
61743,17533,40
19828,17551,40
40440,17616,40
88897,17624,40
80128,17663,40
79133,17672,40
60687,17729,40
91915,17803,40
78981,17931,40
92221,17934,40
91128,17998,40
80415,18012,40
84656,18058,40
44134,18097,40
81678,18117,40
79839,18120,40
91668,18160,40
75603,18215,40
90550,18244,40
79785,18254,40
89952,18271,40
27334,18332,40
84172,18354,40
76795,18448,40
88924,18452,40
10874,18493,40
76804,18499,40
75591,18665,40
88031,18729,40
88281,18772,40
25487,18793,40
75573,18836,40
59045,18876,40
75470,18896,40
91975,18911,40
85931,18925,40
80864,18930,40
86949,18934,40
90272,19011,40
40125,19032,40
13610,19045,40
39571,19099,40
89971,19121,40
61567,19194,40
89290,19316,40
77037,19332,40
76282,19345,40
91594,19459,40
90925,19464,40
82508,19521,40
52898,19740,40
77300,19817,40
10933,19929,40
89901,20012,40
86102,20028,40
92188,20048,40
89876,20095,40
82272,20174,40
88664,20245,40
91579,20251,40
24053,20351,40
32986,20385,40
71176,20389,40
75034,20403,40
44329,20405,40
59396,20416,40
24643,20428,40
68196,20467,40
65402,20517,40
29209,20569,40
85246,20613,40
90756,20693,40
79210,20735,40
17743,20770,40
24440,20791,40
23835,20848,40
91531,20970,40
78840,21025,40
84597,21051,40
62308,21102,40
11403,21113,40
11600,21129,40
82800,21134,40
17929,21270,40
27633,21311,40
42200,21333,40
90038,21352,40
25590,21409,40
10302,21553,40
76230,21640,40
89353,21653,40
87056,21855,40
88182,21856,40
81736,21870,40
69649,22012,40
77157,22021,40
79857,22158,40
90558,22179,40
44206,22198,40
87006,22243,40
14795,22294,40
88860,22311,40
75285,22438,40
78875,22467,40
85621,22525,40
82196,22583,40
58819,22667,40
91983,22707,40
58975,22715,40
38659,22725,40
43123,22747,40
80167,22758,40
51369,22785,40
86799,22901,40
42877,22908,40
27684,22973,40
58318,23025,40
66325,23063,40
84262,23113,40
79265,23386,40
85645,23608,40
79637,23812,40
38093,23876,40
27991,23921,40
28804,23991,40
65330,24096,40
92239,24161,40
77520,24213,40
83621,24219,40
87541,24428,40
90162,24488,40
90520,24539,40
55001,24568,40
52230,24625,40
89269,24673,40
23473,24692,40
82759,24694,40
23536,24844,40
91937,24861,40
81677,24924,40
80204,24946,40
60943,24973,40
40272,25148,40
23229,25213,40
11891,25347,40
85072,25358,40
85257,25413,40
90199,25463,40
89866,25615,40
57568,25626,40
84372,25647,40
38762,25673,40
71175,25727,40
32803,25763,40
90601,25803,40
24985,25933,40
80191,25996,40
17478,26024,40
82298,26139,40
77496,26170,40
24459,26186,40
53065,26338,40
23579,26339,40
91392,26350,40
26710,26428,40
89509,26433,40
75182,26434,40
91849,26481,40
82581,26489,40
89195,26518,40
76614,27062,40
60206,27102,40
44601,27125,40
28345,27182,40
19166,27214,40
90805,27274,40
91611,27308,40
85792,27405,40
85593,27432,40
52476,27469,40
76095,27639,40
90979,27666,40
76644,27675,40
15202,27714,40
82307,27814,40
11674,27885,40
54148,27903,40
21792,28105,40
30940,28124,40
76082,28177,40
24328,28269,40
82651,28459,40
89002,28530,40
92293,28686,40
76744,28720,40
60506,28818,40
84769,28926,40
91416,29027,40
77338,29158,40
89217,29170,40
50017,29372,40
46886,29465,40
12650,29582,40
64390,29681,40
85459,29698,40
52329,29738,40
86979,29747,40
80286,29749,40
52978,29772,40
24205,29837,40
90808,29887,40
79545,30030,40
85663,30298,40
15720,30361,40
83111,30361,40
70033,30386,40
77661,30386,40
59248,30836,40
86228,30924,40
87717,31016,40
13688,31169,40
77730,31181,40
23931,31312,40
86964,31606,40
89003,31734,40
24010,31800,40
27043,31805,40
90993,31833,40
23026,31863,40
63765,31884,40
79103,31934,40
25582,31955,40
86136,32004,40
23393,32054,40
61815,32085,40
91068,32154,40
83906,32166,40
80080,32188,40
32707,32191,40
25232,32272,40
39538,32324,40
88446,32372,40
60986,32544,40
76201,32596,40
77605,32738,40
87299,32874,40
11618,32968,40
90829,32979,40
49015,33086,40
45911,33122,40
84373,33218,40
48486,33274,40
87657,33622,40
82686,33648,40
75828,33766,40
82642,33836,40
45751,33937,40
48653,33942,40
43350,33971,40
25419,33983,40
52695,34126,40
84381,34165,40
90505,34357,40
10909,34367,40
78987,34452,40
46674,34755,40
41355,34942,40
88853,35080,40
79678,35088,40
82775,35212,40
23712,35290,40
37584,35346,40
90880,35434,40
25953,35614,40
88661,35654,40
75241,35726,40
30681,35978,40
88352,36144,40
60599,36215,40
36468,36343,40
81540,36497,40
12062,36651,40
91461,36734,40
89179,36934,40
22517,36990,40
66384,37032,40
10696,37154,40
76226,37238,40
17778,37362,40
28484,37491,40
58683,37642,40
16600,37701,40
64186,37916,40
89626,38140,40
11404,38577,40
26825,39026,40
21371,39416,40
34817,39699,40
21573,39989,40
89393,40216,40
22509,40221,40
10138,40310,40
21207,40418,40
24766,40710,40
91926,40927,40
46578,41409,40
24109,41857,40
89258,41911,40
70578,41949,40
81055,42924,40
75186,43069,40
38156,43086,40
15069,43285,40
79323,43373,40
89070,43842,40
11955,43925,40
86783,44432,40
86158,45120,40
28222,45396,40
87267,45522,40
84032,45814,40
81061,46304,40
21776,46451,40
41080,46583,40
57904,46748,40
75825,46790,40
76841,46820,40
12052,47664,40
85269,47701,40
59459,48136,40
64936,48454,40
62148,48646,40
24942,48966,40
73139,49666,40
87137,49768,40
56573,50441,40
87842,50587,40
22293,50593,40
39490,50873,40
49680,50960,40
52038,51008,40
39642,51890,40
18411,52091,40
27959,52483,40
64311,52636,40
62092,52704,40
15579,52780,40
81774,53699,40
23819,54806,40
27887,55115,40
44644,56698,40
34833,57994,40
91233,58663,40
89006,58818,40
50876,59320,40
87447,59626,40
17750,59820,40
18729,61194,40
10145,61394,40
92655,62225,40
89525,62922,40
22103,63070,40
18542,64239,40
48725,65433,40
13901,65514,40
59176,65562,40
90319,65810,40
17830,65998,40
70519,66279,40
14008,67339,40
77274,67586,40
84788,68634,40
17005,70085,40
19393,71051,40
13928,72705,40
22592,74110,40
83443,74333,40
77178,76531,40
20482,76880,40
26403,78408,40
11308,78925,40
22752,79407,40
65875,81746,40
66093,82770,40
13856,82777,40
12490,83901,40
12060,84041,40
14541,84690,40
59328,86266,40
18163,87032,40
21936,88068,40
11850,92010,40
22111,93387,40
14593,99290,40
10107,100762,40
